date,product,region,units,revenue
2026-01-15,노트북 프로 15,수도권,20,29000000
2026-01-15,노트북 프로 15,영남권,12,17400000
2026-01-15,노트북 프로 15,호남권,8,11600000
2026-02-15,노트북 프로 15,수도권,32,46400000
2026-02-15,노트북 프로 15,영남권,19,27550000
2026-02-15,노트북 프로 15,호남권,13,18850000
2026-03-15,노트북 프로 15,수도권,26,37700000
2026-03-15,노트북 프로 15,영남권,16,23200000
2026-03-15,노트북 프로 15,호남권,10,14500000
2026-04-15,노트북 프로 15,수도권,22,31900000
2026-04-15,노트북 프로 15,영남권,13,18850000
2026-04-15,노트북 프로 15,호남권,9,13050000
2026-05-15,노트북 프로 15,수도권,10,14500000
2026-05-15,노트북 프로 15,영남권,6,8700000
2026-05-15,노트북 프로 15,호남권,4,5800000
2026-06-15,노트북 프로 15,수도권,12,17400000
2026-06-15,노트북 프로 15,영남권,7,10150000
2026-06-15,노트북 프로 15,호남권,5,7250000
2026-01-15,무선 이어버드 X,수도권,60,11340000
2026-01-15,무선 이어버드 X,영남권,36,6804000
2026-01-15,무선 이어버드 X,호남권,24,4536000
2026-02-15,무선 이어버드 X,수도권,72,13608000
2026-02-15,무선 이어버드 X,영남권,43,8127000
2026-02-15,무선 이어버드 X,호남권,29,5481000
2026-03-15,무선 이어버드 X,수도권,90,17010000
2026-03-15,무선 이어버드 X,영남권,54,10206000
2026-03-15,무선 이어버드 X,호남권,36,6804000
2026-04-15,무선 이어버드 X,수도권,66,12474000
2026-04-15,무선 이어버드 X,영남권,40,7560000
2026-04-15,무선 이어버드 X,호남권,26,4914000
2026-05-15,무선 이어버드 X,수도권,48,9072000
2026-05-15,무선 이어버드 X,영남권,29,5481000
2026-05-15,무선 이어버드 X,호남권,19,3591000
2026-06-15,무선 이어버드 X,수도권,42,7938000
2026-06-15,무선 이어버드 X,영남권,25,4725000
2026-06-15,무선 이어버드 X,호남권,17,3213000
2026-01-15,스마트워치 라이트,수도권,27,6993000
2026-01-15,스마트워치 라이트,영남권,16,4144000
2026-01-15,스마트워치 라이트,호남권,11,2849000
2026-02-15,스마트워치 라이트,수도권,30,7770000
2026-02-15,스마트워치 라이트,영남권,18,4662000
2026-02-15,스마트워치 라이트,호남권,12,3108000
2026-03-15,스마트워치 라이트,수도권,30,7770000
2026-03-15,스마트워치 라이트,영남권,18,4662000
2026-03-15,스마트워치 라이트,호남권,12,3108000
2026-04-15,스마트워치 라이트,수도권,33,8547000
2026-04-15,스마트워치 라이트,영남권,20,5180000
2026-04-15,스마트워치 라이트,호남권,13,3367000
2026-05-15,스마트워치 라이트,수도권,39,10101000
2026-05-15,스마트워치 라이트,영남권,23,5957000
2026-05-15,스마트워치 라이트,호남권,16,4144000
2026-06-15,스마트워치 라이트,수도권,45,11655000
2026-06-15,스마트워치 라이트,영남권,27,6993000
2026-06-15,스마트워치 라이트,호남권,18,4662000
2026-01-15,게이밍 마우스 G3,수도권,36,2844000
2026-01-15,게이밍 마우스 G3,영남권,22,1738000
2026-01-15,게이밍 마우스 G3,호남권,14,1106000
2026-02-15,게이밍 마우스 G3,수도권,31,2449000
2026-02-15,게이밍 마우스 G3,영남권,19,1501000
2026-02-15,게이밍 마우스 G3,호남권,13,1027000
2026-03-15,게이밍 마우스 G3,수도권,34,2686000
2026-03-15,게이밍 마우스 G3,영남권,20,1580000
2026-03-15,게이밍 마우스 G3,호남권,14,1106000
2026-04-15,게이밍 마우스 G3,수도권,45,3555000
2026-04-15,게이밍 마우스 G3,영남권,27,2133000
2026-04-15,게이밍 마우스 G3,호남권,18,1422000
2026-05-15,게이밍 마우스 G3,수도권,58,4582000
2026-05-15,게이밍 마우스 G3,영남권,35,2765000
2026-05-15,게이밍 마우스 G3,호남권,23,1817000
2026-06-15,게이밍 마우스 G3,수도권,63,4977000
2026-06-15,게이밍 마우스 G3,영남권,38,3002000
2026-06-15,게이밍 마우스 G3,호남권,25,1975000
