date,product,region,units,revenue
2026-01-05,노트북,서울,373,223800000
2026-01-05,마우스,서울,41,1230000
2026-01-05,모니터,부산,194,48500000
2026-01-05,키보드,서울,74,4440000
2026-01-12,모니터,서울,259,64750000
2026-01-12,키보드,부산,60,3600000
2026-01-19,노트북,부산,302,181200000
2026-01-26,마우스,부산,30,900000
2026-02-05,노트북,부산,385,231000000
2026-02-12,모니터,서울,295,73750000
2026-02-12,키보드,서울,103,6180000
2026-02-19,노트북,서울,503,301800000
2026-02-19,마우스,부산,37,1110000
2026-02-19,모니터,부산,210,52500000
2026-02-19,키보드,부산,67,4020000
2026-02-26,마우스,서울,43,1290000
2026-03-05,노트북,부산,348,208800000
2026-03-05,노트북,서울,431,258600000
2026-03-05,마우스,부산,34,1020000
2026-03-05,키보드,부산,57,3420000
2026-03-12,마우스,서울,43,1290000
2026-03-19,모니터,부산,203,50750000
2026-03-19,키보드,서울,83,4980000
2026-03-26,모니터,서울,226,56500000
2026-04-05,노트북,서울,402,241200000
2026-04-05,키보드,부산,65,3900000
2026-04-12,마우스,부산,29,870000
2026-04-12,마우스,서울,41,1230000
2026-04-19,모니터,부산,180,45000000
2026-04-19,모니터,서울,230,57500000
2026-04-19,키보드,서울,85,5100000
2026-04-26,노트북,부산,327,196200000
2026-05-05,모니터,부산,233,58250000
2026-05-05,모니터,서울,269,67250000
2026-05-12,노트북,부산,380,228000000
2026-05-12,키보드,부산,79,4740000
2026-05-19,마우스,서울,44,1320000
2026-05-26,노트북,서울,452,271200000
2026-05-26,마우스,부산,35,1050000
2026-05-26,키보드,서울,90,5400000
2026-06-05,마우스,부산,29,870000
2026-06-05,마우스,서울,43,1290000
2026-06-12,노트북,부산,302,181200000
2026-06-12,키보드,부산,63,3780000
2026-06-19,모니터,서울,259,64750000
2026-06-26,노트북,서울,383,229800000
2026-06-26,모니터,부산,206,51500000
2026-06-26,키보드,서울,80,4800000
